id,name,duration,album_id
00szcRmgqJGtqrfIUYkM1h,Más De La Una,236731,4ARUAVQnIDB02yVO8uvaJE
16ONd70tvWAaLIc6hcLzaG,Aquí Abajo,143933,6JsZWQ0iaOn0GbirYWqwCi
3lR4O0vtkhCAvVEUEWUL0S,Pa' Olvidarme De Ella,227233,4ARUAVQnIDB02yVO8uvaJE
4HYDUMY0xSpeBr0AMY9cUz,La Curiosidad,219048,5sEpXan86hEcM8eZSAoWhw
3GtnId3Cm1Xa6joCj08nzW,Jeans,185840,2CihHxhe77TEB6YEWBRVru
5KFHrrBMyGj5MhVbZMM3ts,Tu Veneno,157320,49Et8wid3L8iKof9lu78SS
1mauYRwbpoGQX6itP2FAJC,Fan de Tus Fotos,197647,2AWg2kHOfuRPjJKYyttF9T
2Q7KYjCv7XaLc0KRGY9m50,Bonita,187773,5eABKqhbKkcAkAi3o6tFun
11EnQRgRMJwMAesfkB5pnu,Se Te Nota (with Guaynaa),155825,4XiHCUNnGgnnN5xkGue4RF
6fmQjRuo7XvRFCK2qex5hQ,Mi Cuarto,197586,1NTAPW8MixdsXxAi4v9hBn
5Km4r87BoX2qqtoprYS1gh,LOCATION,265240,4ipeZHF3UKl2AKFqDhBCXR
7x4ASXYEKfQBCewcZhK776,"Ay, DiOs Mío!",189653,1mMUBQXa70gHyUjK0Q0u63
41BzKiCrKpUQHS3TP0jmdr,Agua de Jamaica,176970,7vZC8PTQUCcw3687OxqY98
4G3PTss3mU33Tau7t4KbwE,Tattoo - Remix with Camilo,222680,3fq06DDIkadDRB9RuBb22v
70uX4beGHc1nQikXveOknp,Mala Costumbre,230728,1YJjyV8YutIhzL4MWAB1LY
58pgi1RpcU2fVJsxhm7BIr,Tapão Na Raba,175046,7vmK77PL6WhlC2oIDJiFR2
7EWXP47VlXKO3r7mNxuWHw,"Ele É Ele, Eu Sou Eu",155209,3qHr515eeTF5tfUCHaCkse
1ere9b9vDw2N3m9d4uiXxa,Facas - Ao Vivo,196379,0t4odyaTT5r6RJ7L2CjR8q
2nZj5YymF54qhAu7RneVP6,Coração Na Cama,173226,3IfMlmwvbnO0yPVTNCnwAb
27X3qzgB0Show6qfw5wNOK,Esquema Preferido,189463,36I7ShhFb2VQsDx5dWlf9e
5m5aY6S9ttfIG157xli2Rs,Alô Ambev (Segue Sua Vida) - Ao Vivo,169593,1Yg3QTRv9IGAWeJQb7q8bT
4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,203158,4CwfuAMrV2zwnoOzJtuI1k
7GLWWrk1YlkPYqJK3ynIA0,Lance Individual,164458,532ccGsBf6MOSS0mD7yWSx
6sPBi0qLI6KM3yXX56NxsA,Meia Noite (Você tem meu Whatsapp),237900,6mpiRhzd62ck4gh6E0A5NF
158ukl5rih76dOEsp0I91H,Paradigmas,157354,1GLViCxaCfb75xbzBGbskT
2SUPbyD77tJuOUbqbxct6l,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,147875,0EB9cgGjaXmq2YDrcpdSDE
0WlmiIK5qFQ4dAB4mCA4sI,Amor da Despedida,169773,2E5eG2FJ0VAkg4rVmLlX1i
2pBEAodCImE4LgbKAG4bfz,Último Beijo,181279,6AW51ww4T6cgKSxfj9PybR
4Ls13Ag4SWnniiX4QLRltL,Acaso,200890,0kn9FP6sRjDYjQkIsX2hBa
1Cqg0nJOZRyvltkof8tjqA,Foi Pá Pum,183413,7gS7wxmnbG0jm5qoFzOXt2
5glMxRMRHGBRj6bydBjoPM,FALA MAL DE MIM,154181,3x3CccLoOFQN8jnFJxF91n
07AQkmp456NpEnT8HR7WLy,M4,170000,0yqUVjjoQFD1wtu4OJSNM3
1uA7fD01YlQr1Rm0oyNB4H,Pulei na Piscina - Ao Vivo,181846,59wHxqp3FE5gfK0l4wAIc8
3rRin3LyLY92kpEbkCgwf4,Basta Você Me Ligar - Ao Vivo,182976,2Zwru555EbXVqOQ1c30LLH
56F3ngwk3a42aLY0o5QgBF,Fala Comigo - Ao Vivo,140629,78YLa6QF2hX4A0QIX80QGy
0QglpM23kl9ldvVdoYNZwF,Mds,125142,2x3FO0DZC61UwKBFNsnkzX
1JHvLQWHUoYuapwQikeDuD,Ele Não Tem,212192,1H3osN9EmZy0a8DGV27hXy
2JTir3y1VuJQmexiTCMcTP,Recairei - Ao Vivo,166837,1xpVDIfB11DKa1P2YJDdJP
0DlHQxrVijRqVUfuS6PKaY,Deixa de Onda (Porra Nenhuma),184999,1fjkJADMiiZWMDusZSMNix
43VBV6uVyKAHbtrRpizoRK,É Problema,184149,5DqAW4kvj8veOV5PZOZcdg
3HquWF2pZmWYu3WAEP9Heb,Só Não Divulga,160476,007jctHYAC50QpRyU3Cnj2
1mQOFRDoqI34LdN79PE0vH,Ô Moça,180923,4ps8YCaJj1S9AmZ20mm7P6
1O74aTse7W5hd2rAvnEVaW,Xerecard,236112,272ARtGGQmKejfua2jWFmz
2Gjt4rUHBUH0rMKpBg0hF4,Disco Arranhado - Funk Remix,125557,4iQUKFW9eZNn2fWcxuANT8
15k1TDabqSEmyXOwMq9RM7,Investe Em Mim,186533,7HkadvWYCa91hUKnBqBFJu
1HoapWs5KcMzs8QYdgg9Kt,Não Pode Se Apaixonar,170000,4XL8jGKJBd6cOEyggh5cFO
